yubin,kenmei
600000,–kŠC“¹
640941,–kŠC“¹
600041,–kŠC“¹
600042,–kŠC“¹
640820,–kŠC“¹
600031,–kŠC“¹
600001,–kŠC“¹
640821,–kŠC“¹
600032,–kŠC“¹
600002,–kŠC“¹
640822,–kŠC“¹
600033,–kŠC“¹
600003,–kŠC“¹
640823,–kŠC“¹
600034,–kŠC“¹
600004,–kŠC“¹
640824,–kŠC“¹
600035,–kŠC“¹
600005,–kŠC“¹
640825,–kŠC“¹
600006,–kŠC“¹
640826,–kŠC“¹
600007,–kŠC“¹
600008,–kŠC“¹
600009,–kŠC“¹
600010,–kŠC“¹
600011,–kŠC“¹
600012,–kŠC“¹
600013,–kŠC“¹
600014,–kŠC“¹
600015,–kŠC“¹
600016,–kŠC“¹
600017,–kŠC“¹
600018,–kŠC“¹
600020,–kŠC“¹
600021,–kŠC“¹
600022,–kŠC“¹
640943,–kŠC“¹
640931,–kŠC“¹
640945,–kŠC“¹
640942,–kŠC“¹
640946,–kŠC“¹
640944,–kŠC“¹
600051,–kŠC“¹
600061,–kŠC“¹
640801,–kŠC“¹
600052,–kŠC“¹
600062,–kŠC“¹
640802,–kŠC“¹
600053,–kŠC“¹
600063,–kŠC“¹
640803,–kŠC“¹
600054,–kŠC“¹
640804,–kŠC“¹
600055,–kŠC“¹
640805,–kŠC“¹
600056,–kŠC“¹
640806,–kŠC“¹
600057,–kŠC“¹
640807,–kŠC“¹
640808,–kŠC“¹
640809,–kŠC“¹
640810,–kŠC“¹
640811,–kŠC“¹
640912,–kŠC“¹
640913,–kŠC“¹
640914,–kŠC“¹
640915,–kŠC“¹
640916,–kŠC“¹
640917,–kŠC“¹
640918,–kŠC“¹
640919,–kŠC“¹
640920,–kŠC“¹
640921,–kŠC“¹
640922,–kŠC“¹
640923,–kŠC“¹
640924,–kŠC“¹
640925,–kŠC“¹
640926,–kŠC“¹
640927,–kŠC“¹
640928,–kŠC“¹
640929,–kŠC“¹
640930,–kŠC“¹
640959,–kŠC“¹
640958,–kŠC“¹
640951,–kŠC“¹
640952,–kŠC“¹
640953,–kŠC“¹
640954,–kŠC“¹
10000,–kŠC“¹
28071,–kŠC“¹
28072,–kŠC“¹
28073,–kŠC“¹
28074,–kŠC“¹
28075,–kŠC“¹
10045,–kŠC“¹
600806,–kŠC“¹
600807,–kŠC“¹
600808,–kŠC“¹
600809,–kŠC“¹
10010,–kŠC“¹
600810,–kŠC“¹
10011,–kŠC“¹
600811,–kŠC“¹
10012,–kŠC“¹
600812,–kŠC“¹
10013,–kŠC“¹
600813,–kŠC“¹
10014,–kŠC“¹
600814,–kŠC“¹
10015,–kŠC“¹
600815,–kŠC“¹
10016,–kŠC“¹
600816,–kŠC“¹
10017,–kŠC“¹
600817,–kŠC“¹
10018,–kŠC“¹
600818,–kŠC“¹
10019,–kŠC“¹
600819,–kŠC“¹
10020,–kŠC“¹
600820,–kŠC“¹
10021,–kŠC“¹
10022,–kŠC“¹
10023,–kŠC“¹
10024,–kŠC“¹
10025,–kŠC“¹
10026,–kŠC“¹
10027,–kŠC“¹
10028,–kŠC“¹
10029,–kŠC“¹
10030,–kŠC“¹
10031,–kŠC“¹
10032,–kŠC“¹
10033,–kŠC“¹
10034,–kŠC“¹
10035,–kŠC“¹
10036,–kŠC“¹
10037,–kŠC“¹
10038,–kŠC“¹
10039,–kŠC“¹
10040,–kŠC“¹
28021,–kŠC“¹
28022,–kŠC“¹
28023,–kŠC“¹
28024,–kŠC“¹
28025,–kŠC“¹
